iter	Passed	Remaining
762	4095	1272
763	4099	1266
764	4103	1260
765	4108	1254
766	4111	1249
767	4116	1243
768	4120	1237
769	4123	1231
770	4127	1225
771	4131	1220
772	4135	1214
773	4138	1208
774	4142	1202
775	4146	1196
776	4150	1191
777	4154	1185
778	4158	1179
779	4162	1174
780	4166	1168
781	4170	1162
782	4174	1156
783	4177	1151
784	4181	1145
785	4185	1139
786	4189	1133
787	4193	1128
788	4197	1122
789	4201	1116
790	4204	1110
791	4208	1105
792	4212	1099
793	4216	1093
794	4220	1088
795	4224	1082
796	4228	1077
797	4232	1071
798	4236	1065
799	4240	1060
800	4244	1054
801	4248	1048
802	4252	1043
803	4256	1037
804	4260	1031
805	4263	1026
806	4267	1020
807	4271	1014
808	4275	1009
809	4279	1003
810	4283	998
811	4299	995
812	4303	989
813	4308	984
814	4312	978
815	4318	973
816	4322	968
817	4326	962
818	4331	957
819	4335	951
820	4340	946
821	4344	940
822	4349	935
823	4353	929
824	4357	924
825	4361	918
826	4365	913
827	4369	907
828	4375	902
829	4380	897
830	4384	891
831	4388	886
832	4393	880
833	4397	875
834	4402	869
835	4406	864
836	4410	858
837	4415	853
838	4419	848
839	4422	842
840	4427	837
841	4431	831
842	4435	826
843	4439	820
844	4443	815
845	4447	809
846	4451	804
847	4455	798
848	4460	793
849	4464	787
850	4468	782
851	4472	776
852	4475	771
853	4480	765
854	4484	760
855	4487	754
856	4492	749
857	4496	744
858	4499	738
859	4503	733
860	4507	727
861	4512	722
862	4515	716
863	4520	711
864	4524	706
865	4528	700
866	4532	695
867	4536	689
868	4540	684
869	4544	679
870	4548	673
871	4551	668
872	4556	662
873	4560	657
874	4564	652
875	4568	646
876	4572	641
877	4575	635
878	4580	630
879	4584	625
880	4587	619
881	4592	614
882	4597	609
883	4601	603
884	4606	598
885	4611	593
886	4615	588
887	4620	582
888	4625	577
889	4630	572
890	4634	566
891	4639	561
892	4644	556
893	4648	551
894	4654	546
895	4659	540
896	4664	535
897	4670	530
898	4675	525
899	4681	520
900	4687	515
901	4693	509
902	4698	504
903	4703	499
904	4709	494
905	4715	489
906	4721	484
907	4727	478
908	4733	473
909	4739	468
910	4746	463
911	4752	458
912	4759	453
913	4766	448
914	4773	443
915	4780	438
916	4786	433
917	4793	428
918	4799	423
919	4807	418
920	4813	412
921	4823	408
922	4831	403
923	4841	398
924	4854	393
925	4862	388
926	4870	383
927	4877	378
928	4884	373
929	4890	368
930	4897	362
931	4903	357
932	4909	352
933	4916	347
934	4924	342
935	4930	337
936	4936	331
937	4942	326
938	4949	321
939	4955	316
940	4962	311
941	4968	305
942	4975	300
943	4981	295
944	4988	290
945	4994	285
946	5001	279
947	5007	274
948	5014	269
949	5021	264
950	5027	259
951	5034	253
952	5041	248
953	5047	243
954	5054	238
955	5060	232
956	5067	227
957	5074	222
958	5081	217
959	5087	211
960	5093	206
961	5099	201
962	5106	196
963	5112	190
964	5118	185
965	5125	180
966	5132	175
967	5138	169
968	5145	164
969	5152	159
970	5158	154
971	5165	148
972	5171	143
973	5177	138
974	5184	132
975	5191	127
976	5198	122
977	5204	117
978	5210	111
979	5217	106
980	5223	101
981	5230	95
982	5236	90
983	5244	85
984	5250	79
985	5256	74
986	5262	69
987	5268	63
988	5274	58
989	5280	53
990	5287	48
991	5293	42
992	5300	37
993	5306	32
994	5312	26
995	5319	21
996	5325	16
997	5332	10
998	5338	5
999	5344	0
